date,adjustedClose,momentum_12m,peso
2008-01-04,,,0.0
2008-01-07,,,0.0
2008-01-08,,,0.0
2008-01-09,,,0.0
2008-01-10,,,0.0
2008-01-11,,,0.0
2008-01-14,,,0.0
2008-01-15,,,0.0
2008-01-16,,,0.0
2008-01-17,,,0.0
2008-01-18,,,0.0
2008-01-21,,,0.0
2008-01-22,,,0.0
2008-01-23,,,0.0
2008-01-24,,,0.0
2008-01-28,,,0.0
2008-01-29,,,0.0
2008-01-30,,,0.0
2008-01-31,,,0.0
2008-02-01,,,0.0
2008-02-06,,,0.0
2008-02-07,,,0.0
2008-02-08,,,0.0
2008-02-11,,,0.0
2008-02-12,,,0.0
2008-02-13,,,0.0
2008-02-14,,,0.0
2008-02-15,,,0.0
2008-02-18,,,0.0
2008-02-19,,,0.0
2008-02-20,,,0.0
2008-02-21,,,0.0
2008-02-22,,,0.0
2008-02-25,,,0.0
2008-02-26,,,0.0
2008-02-27,,,0.0
2008-02-28,,,0.0
2008-02-29,,,0.0
2008-03-03,,,0.0
2008-03-04,,,0.0
2008-03-05,,,0.0
2008-03-06,,,0.0
2008-03-07,,,0.0
2008-03-10,,,0.0
2008-03-11,,,0.0
2008-03-12,,,0.0
2008-03-13,,,0.0
2008-03-14,,,0.0
2008-03-17,,,0.0
2008-03-18,,,0.0
2008-03-19,,,0.0
2008-03-20,,,0.0
2008-03-24,,,0.0
2008-03-25,,,0.0
2008-03-26,,,0.0
2008-03-27,,,0.0
2008-03-28,,,0.0
2008-03-31,,,0.0
2008-04-01,,,0.0
2008-04-02,,,0.0
2008-04-03,,,0.0
2008-04-04,,,0.0
2008-04-07,,,0.0
2008-04-08,,,0.0
2008-04-09,,,0.0
2008-04-10,,,0.0
2008-04-11,,,0.0
2008-04-14,,,0.0
2008-04-15,,,0.0
2008-04-16,,,0.0
2008-04-17,,,0.0
2008-04-18,,,0.0
2008-04-22,,,0.0
2008-04-23,,,0.0
2008-04-24,,,0.0
2008-04-25,,,0.0
2008-04-28,,,0.0
2008-04-29,,,0.0
2008-04-30,,,0.0
2008-05-02,,,0.0
2008-05-05,,,0.0
2008-05-06,,,0.0
2008-05-07,,,0.0
2008-05-08,,,0.0
2008-05-09,,,0.0
2008-05-12,,,0.0
2008-05-13,,,0.0
2008-05-14,,,0.0
2008-05-15,,,0.0
2008-05-16,,,0.0
2008-05-19,,,0.0
2008-05-20,,,0.0
